Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.51,21.88,21.71,43.6,43.7,22.07,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,44,21,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,212,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,10160,11720,11640,11640,11080,10440,10600,10720,10240,11280,10480,11040,10280,10400,11080,10120,10280,10840,10840,10480,10560,10640,3040,59280,,,,,,,,,,,
B,11560,10640,11080,10720,10960,10360,11200,10440,12040,10840,11280,10560,10920,10640,11600,10280,11200,11120,10920,10160,10600,9920,3000,54080,,,,,,,,,,,
C,10960,11440,9960,11280,10960,10880,10600,11880,10200,10920,10680,11240,11160,11040,10360,10600,10960,10920,10640,10280,10800,10560,3240,58200,,,,,,,,,,,
D,11160,11120,11480,10920,11240,10840,12000,10760,11040,10480,11200,10640,11200,10640,11560,10800,11040,10280,11200,10320,11120,10720,2760,51240,,,,,,,,,,,
E,11000,11120,10840,11360,11400,11640,10960,10680,10920,11000,10480,10720,10960,10320,11080,11040,10440,10560,10960,10800,9920,10440,3120,61880,,,,,,,,,,,
F,10960,11160,10800,11560,11120,11400,10840,10160,10520,10960,11840,11120,10960,10640,11680,10360,10880,10040,10880,9960,10920,10600,3160,53880,,,,,,,,,,,
G,11000,10840,10600,11920,10600,11240,11240,10880,13160,11120,10440,11240,10920,10280,10160,11400,10560,10400,10920,10680,10920,10480,3040,61960,,,,,,,,,,,
H,10280,10520,10600,10680,11800,9920,11880,10800,10600,10320,11400,10480,11000,10360,10760,10240,11160,10760,10960,10400,10920,10400,2960,53720,,,,,,,,,,,
I,10000,11360,11320,11200,11120,11320,11160,11040,10600,11120,10600,10560,11000,11120,10840,11160,10400,11480,10080,11840,10000,10640,2720,62080,,,,,,,,,,,
J,10680,10440,11280,11240,11160,11160,11680,10960,10440,10960,11040,10360,10720,10040,11080,10960,11080,10080,11000,10640,10920,10640,2880,51800,,,,,,,,,,,
K,10800,11280,10560,11480,9680,10800,11040,11120,10920,10760,10760,10800,10280,10440,10480,11200,10800,10440,10520,11280,10640,10480,2840,60960,,,,,,,,,,,
L,10840,10520,11120,10280,10960,11480,9920,10320,11040,10440,10800,10280,10600,10680,10720,10440,11360,13800,10720,10520,11200,10040,3200,57400,,,,,,,,,,,
