Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.51,21.78,21.91,43.3,43.6,22.17,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,42,01,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,288,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,10680,11000,10840,10760,10440,10960,10320,11120,10560,5960,10680,10440,10440,10640,10960,10920,10800,10880,10320,11080,11000,10200,3560,59400,,,,,,,,,,,
B,10520,10400,11080,10520,10520,10280,11040,10160,11920,10000,11520,11000,10760,10480,10480,10120,11360,10520,11200,10280,10840,10280,3360,50840,,,,,,,,,,,
C,10640,11200,10480,10680,10360,11320,11400,10720,10360,10560,10760,10840,10400,11200,11200,10800,10720,10400,10600,10960,10400,10560,3320,53880,,,,,,,,,,,
D,11760,10720,11000,10840,11320,10120,11320,10760,11080,9480,10520,10760,11040,10560,11080,10840,10920,10080,10720,10280,10320,10120,3200,49360,,,,,,,,,,,
E,10640,10920,10280,11240,10440,9400,10560,10920,10720,11440,9880,10680,10920,10360,10680,10840,10520,10320,9960,10480,9880,10640,3160,61320,,,,,,,,,,,
F,11040,10760,10600,10560,10720,10680,10880,10320,11520,10280,11400,10920,10360,10800,11200,9880,11200,10400,9280,10440,11240,10760,3400,50960,,,,,,,,,,,
G,10720,11400,10440,10520,10040,11080,10920,11400,10880,10960,10440,11040,10600,10640,10080,11120,10840,10920,10120,10520,10000,10240,3240,57040,,,,,,,,,,,
H,11280,10320,10760,10120,8520,10760,10880,10000,10800,9960,10320,10200,10560,10520,10960,9800,10840,10440,10600,10840,10680,9720,3040,49560,,,,,,,,,,,
I,11120,11640,11000,11360,11880,11200,11440,11120,10680,10520,10520,10840,9920,10280,10360,10600,10960,10840,10480,9880,10640,10800,2800,55360,,,,,,,,,,,
J,11400,10520,10960,10800,10960,11720,10760,10880,10600,10320,10600,10720,10480,10880,10520,10360,10440,10800,10640,10120,10800,9360,3040,51480,,,,,,,,,,,
K,10880,11200,10840,10680,10600,11000,10680,11080,10920,10640,10600,10680,7280,11520,10720,10680,10360,10800,10440,10000,10880,10520,3160,56800,,,,,,,,,,,
L,11680,10520,10720,10240,11720,10480,10800,10360,11040,9920,10880,9920,10360,10400,10840,10720,10480,10440,10560,10880,10240,9840,3360,51800,,,,,,,,,,,
M,10920,10520,10560,11320,11120,11000,10000,10800,10040,10800,10120,10440,10360,10720,10160,8280,10120,10440,10440,10920,10160,9360,3000,61160,,,,,,,,,,,
N,10880,9840,9920,10080,11720,10040,9840,10240,10760,9520,10400,9560,10760,10160,11240,10360,11520,10120,10880,9880,10280,10080,3320,52000,,,,,,,,,,,
O,9640,11400,9920,11000,10160,10280,10080,10400,9720,10840,10880,10200,10400,10480,10240,10200,10640,10200,10360,10280,10480,10840,3000,65400,,,,,,,,,,,
P,9600,9520,9160,10120,10240,9880,10120,9560,9760,9360,10800,10120,10600,9560,10040,9920,10600,10320,10040,10640,42640,10400,3080,57080,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/7/2023,4,40,28,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,7/7/2023,4,42,15,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Exported,,,,,,7/7/2023,4,42,15,PM,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial#,,,,,,"""=""""1040181""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotated,plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft,move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,of,the,plate,type,,,,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,of,rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,of,columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,of,the,wells,in,the,plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,
Height,of,the,plate,,,,10.12,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
